,S&P 500,S&P 500 Real Estate (Sector),S&P 500 Performance (%),S&P 500 Communication Services (Sector) Performance (%),S&P 500 Communication Services (Sector) Outperform/Underperform,overall,communication,information technology commodities,education and communication commodities,education and communication services
1993-05-04,444.05,105.379997,-1.1508837540626038,-8.053401901636835,-8.053401901636835,144.3,,,,
1993-05-05,444.52,105.190002,-0.27593942793046056,-7.792776861977957,UNDERPERFORM,144.3,,,,
1993-05-06,443.26,105.059998,-0.6210344595654949,-8.675245925980136,UNDERPERFORM,144.3,,,,
1993-05-07,442.31,104.510002,-1.1177930294426708,-9.491641902731086,UNDERPERFORM,144.3,,,,
1993-05-10,442.8,104.839996,-0.9794713538172517,-9.150784936728162,UNDERPERFORM,144.3,,,,
1993-05-11,444.36,105.120003,-0.03374502260915513,-8.328242056828161,UNDERPERFORM,144.3,,,,
1993-05-12,444.8,104.779999,-0.5144263028405316,-8.648647131176467,UNDERPERFORM,144.3,,,,
1993-05-13,439.23,102.559998,-2.195551003139673,-11.387593077373314,UNDERPERFORM,144.3,,,,
1993-05-14,439.56,103.470001,-1.936462609316436,-10.221257266811278,UNDERPERFORM,144.3,,,,
1993-05-17,440.37,103.32,-1.5250788255551262,-10.359189478410736,UNDERPERFORM,144.3,,,,
1993-05-18,440.32,104.260002,-2.2032693674484793,-10.136179369147891,UNDERPERFORM,144.3,,,,
1993-05-19,447.57,107.059998,-0.12496373820096718,-7.122407576708801,UNDERPERFORM,144.3,,,,
1993-05-20,450.59,107.57,0.09774519604575094,-6.946365172082447,UNDERPERFORM,144.3,,,,
1993-05-21,445.84,106.139999,-0.7634607251764014,-7.349859590605079,UNDERPERFORM,144.3,,,,
1993-05-24,448.0,107.029999,-0.1203906006153388,-6.138735474337764,UNDERPERFORM,144.3,,,,
1993-05-25,448.85,107.93,0.16066766340125938,-5.74622468349969,UNDERPERFORM,144.3,,,,
1993-05-26,453.44,108.870003,1.0608897209592572,-4.239597955148255,UNDERPERFORM,144.3,,,,
1993-05-27,452.41,108.470001,0.3749556265530751,-5.431557247555984,UNDERPERFORM,144.3,,,,
1993-05-28,450.19,108.379997,0.16464567805094532,-5.74013378656808,UNDERPERFORM,144.3,,,,
1993-06-01,453.83,109.370003,0.7481241397682359,-5.1101847109112475,UNDERPERFORM,144.3,,,,
1993-06-02,453.85,109.599998,1.0891838916607277,-4.4463811101930535,UNDERPERFORM,144.5,,,,
1993-06-03,452.49,109.660004,0.522059803616659,-4.7345990380106,UNDERPERFORM,144.5,,,,
1993-06-04,450.06,109.790001,-0.5128431849330206,-4.405744090652918,UNDERPERFORM,144.5,,,,
1993-06-07,447.69,110.080002,-1.2005384768168037,-3.5232217970766366,UNDERPERFORM,144.5,,,,
1993-06-08,444.71,109.68,-2.4844311902464833,-3.1779652469806186,UNDERPERFORM,144.5,,,,
1993-06-09,445.78,110.080002,-2.333326030278471,-1.6616044012577547,OUTPERFORM,144.5,,,,
1993-06-10,445.38,109.959999,-2.36320589266924,-2.188221885575914,OUTPERFORM,144.5,,,,
1993-06-11,447.26,110.699997,-1.7507633503943132,-0.7619954972121423,OUTPERFORM,144.5,,,,
1993-06-14,447.71,111.269997,-2.62305065576266,-2.051057254420019,OUTPERFORM,144.5,,,,
1993-06-15,446.27,111.269997,-3.0121922065503237,-3.3946891821496794,UNDERPERFORM,144.5,,,,
1993-06-16,447.43,110.980003,-2.952021516571235,-4.680921583784259,UNDERPERFORM,144.5,,,,
1993-06-17,448.54,111.290001,-2.6056368610761327,-5.1721199286629105,UNDERPERFORM,144.5,,,,
1993-06-18,443.68,110.129997,-3.9445767482138905,-7.3681571820014895,UNDERPERFORM,144.5,,,,
1993-06-21,446.22,111.260002,-3.7406161014755357,-7.1130381291788165,UNDERPERFORM,144.5,,,,
1993-06-22,445.93,111.910004,-3.7180179207600084,-6.865845310724195,UNDERPERFORM,144.5,,,,
1993-06-23,443.19,111.68,-3.9258616952091985,-6.770181928623575,UNDERPERFORM,144.5,,,,
1993-06-24,446.62,112.220001,-3.1907053366280747,-6.3506641683941485,UNDERPERFORM,144.5,,,,
1993-06-25,447.6,111.910004,-2.3815755037948083,-6.210187730472672,UNDERPERFORM,144.5,,,,
1993-06-28,451.85,113.050003,-1.0511332530384276,-4.999997478991592,UNDERPERFORM,144.5,,,,
1993-06-29,450.69,113.309998,-1.488524590163931,-4.21809372227997,UNDERPERFORM,144.5,,,,
1993-06-30,450.53,113.790001,-2.4235467382829556,-4.857857104646435,UNDERPERFORM,144.5,,,,
1993-07-01,449.02,113.82,-2.822144310262742,-5.276301422226992,UNDERPERFORM,144.5,,,,
1993-07-02,445.84,112.870003,-3.0571863448575765,-5.429405202000925,UNDERPERFORM,144.8,,,,
1993-07-06,441.43,112.089996,-4.369584055459274,-6.552731301860726,UNDERPERFORM,144.8,,,,
1993-07-07,442.83,112.089996,-3.6131728446118117,-5.584572897704065,UNDERPERFORM,144.8,,,,
1993-07-08,448.64,113.410004,-2.2208661159906717,-4.737504290529082,UNDERPERFORM,144.8,,,,
1993-07-09,448.11,113.129997,-1.525107131084491,-4.135246942882009,UNDERPERFORM,144.8,,,,
1993-07-12,448.98,113.839996,-0.8764764322772844,-2.8420261644111378,UNDERPERFORM,144.8,,,,
1993-07-13,448.09,112.870003,-1.7777290661990408,-4.225706478162183,UNDERPERFORM,144.8,,,,
1993-07-14,450.08,113.639999,-1.673439070214533,-3.7601650785879848,UNDERPERFORM,144.8,,,,
1993-07-15,449.22,114.610001,-1.8377291698533638,-1.6729555880740432,OUTPERFORM,144.8,,,,
1993-07-16,445.75,114.080002,-3.4755305326981456,-3.5345847533471253,UNDERPERFORM,144.8,,,,
1993-07-19,446.03,115.040001,-3.3583949039065697,-3.148676571381348,OUTPERFORM,144.8,,,,
1993-07-20,447.31,115.470001,-2.781943448305846,-2.027829611167231,OUTPERFORM,144.8,,,,
1993-07-21,447.18,115.400002,-2.5603033142309273,-1.9291204543064655,OUTPERFORM,144.8,,,,
1993-07-22,444.51,114.669998,-3.635535900104059,-2.805564431118035,OUTPERFORM,144.8,,,,
1993-07-23,447.1,114.699997,-3.0866605973902006,-2.2248751551423585,OUTPERFORM,144.8,,,,
1993-07-26,449.09,115.739998,-2.6257588898525586,-0.8141263036399726,OUTPERFORM,144.8,,,,
1993-07-27,448.24,115.25,-2.7130268698181137,-1.2847965738758016,OUTPERFORM,144.8,,,,
