,S&P 500,S&P 500 Consumer Discretionary (Sector),S&P 500 Performance (%),S&P 500 Consumer Discretionary (Sector) Performance (%),S&P 500 Consumer Discretionary (Sector) Outperform/Underperform,overall,durables,jewelry and watches,jewelry,watches,sporting goods,"pets, pet products and services"
1993-05-04,444.05,99.760002,-6.025141792939981,-11.607300092084882,-11.607300092084882,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-05,444.52,99.5,-5.979398887455323,-11.610553433419202,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-06,443.26,99.190002,-5.7575371008206755,-11.82326983417672,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-07,442.31,99.129997,-5.426671513181802,-11.51477471672565,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-10,442.8,99.660004,-6.078988673482366,-11.742821674509774,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-11,444.36,99.93,-5.593915315812947,-11.940432359699527,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-12,444.8,100.779999,-4.191616766467066,-10.025893044801482,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-13,439.23,99.300003,-5.758791597828649,-11.70193501424448,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-14,439.56,99.260002,-5.904011645331164,-12.034734563443262,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-17,440.37,99.620003,-5.1825854792868835,-11.306977386039884,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-18,440.32,99.540001,-5.268819517652378,-11.559308443554638,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-19,447.57,101.470001,-3.334701194358658,-9.72420000490748,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-20,450.59,102.870003,-3.0447131729569255,-9.660138500215897,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-21,445.84,101.330002,-4.512646976933466,-11.331814064856626,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-24,448.0,102.550003,-3.8378981712028803,-10.334877756364136,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-25,448.85,102.449997,-3.8988566779428746,-10.835513301383582,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-26,453.44,103.190002,-2.254796292304373,-9.187710354335387,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-27,452.41,102.980003,-3.0078895463510835,-9.848550910044185,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-28,450.19,102.419998,-3.680010269796097,-10.260228956283946,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-06-01,453.83,103.290001,-2.8222093745315924,-9.21954481648396,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-06-02,453.85,103.559998,-3.3168591027225025,-9.213642500219166,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-03,452.49,103.199997,-3.9095349331068063,-9.35441474491726,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-04,450.06,102.669998,-4.458030824098847,-9.851612168334455,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-07,447.69,101.699997,-4.4499935971315185,-10.111368305739521,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-08,444.71,100.489998,-5.138651877133116,-11.819937801157753,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-09,445.78,100.660004,-4.857642890681701,-11.864105698836402,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-10,445.38,100.440002,-4.085280499623134,-10.910055187334667,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-11,447.26,101.059998,-2.8920057319032466,-9.493109099297548,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-14,447.71,100.800003,-2.6717391304347915,-9.352512842244042,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-15,446.27,100.059998,-1.3724363507779391,-7.923069990302212,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-16,447.43,99.889999,0.42195039838401893,-6.417462177580324,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-17,448.54,100.029999,0.6213966843888086,-6.057479168177704,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-18,443.68,98.910004,1.0844800874874716,-6.10403668517322,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-21,446.22,99.089996,-0.4617546677374018,-9.11675969106448,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-22,445.93,98.330002,-0.47316147751367277,-9.648074802020123,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-23,443.19,97.519997,-1.705553584102204,-11.175884769324307,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-24,446.62,98.769997,-0.10735853276672147,-8.419101686028775,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-25,447.6,99.260002,-0.504590214950984,-8.118112636472397,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-28,451.85,100.489998,0.9562749960900119,-6.303032167832168,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-29,450.69,99.889999,0.9926948415721837,-6.285765317037817,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-30,450.53,99.989998,0.9297011514852738,-5.732065617045345,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-07-01,449.02,99.290001,0.636514411224165,-6.046554693414086,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-07-02,445.84,98.540001,0.7639108619988288,-5.295532764184541,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-06,441.43,97.379997,-0.25082478420029863,-5.5021890683496615,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-07,442.83,97.790001,0.19685039370078705,-4.0710230710021005,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-08,448.64,99.639999,-0.020056604194063077,-4.513655093697267,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-09,448.11,99.690002,0.10723141880570886,-4.64849436685334,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-12,448.98,99.349998,-0.8239270172958335,-6.0431247596581255,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-13,448.09,99.629997,-0.8365237789629831,-6.027164856456279,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-14,450.08,100.870003,0.2182142061901482,-4.506290007752256,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-15,449.22,100.940002,-0.37479763145639167,-4.890224391507325,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-16,445.75,100.25,-1.6047856606772326,-6.053789767161366,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-19,446.03,99.510002,-1.5451515352184142,-7.14751902859978,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-20,447.31,100.370003,-0.9762684849021541,-6.222550744861732,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-21,447.18,100.150002,-0.9304798617572718,-6.2178096617866,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-22,444.51,99.309998,-0.7391362601045115,-5.562957186650552,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-23,447.1,100.150002,1.0806655814794786,-3.2554048470461283,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-26,449.09,100.870003,0.6905674760655511,-3.3627075118616845,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-27,448.24,100.169998,1.5289134521733194,-2.973653680233501,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-28,447.19,100.410004,0.7752112676056244,-3.2565728561848695,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-29,450.24,101.800003,1.3734408069527637,-1.6330032202725442,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-07-30,448.13,101.410004,0.818916061103736,-1.3137387833059733,UNDERPERFORM,144.8,121.7,145.1,152.0,120.5,120.4,
1993-08-02,450.15,102.230003,0.17357634020962465,-1.9470544418366709,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-03,449.27,102.019997,-0.974233507461042,-3.1057118139831696,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-04,448.54,102.160004,-1.7393971258324536,-3.531631661347845,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-05,448.13,102.099998,-1.4925701222192944,-3.1676820339969325,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-06,448.68,102.279999,-0.9973521624006998,-2.5347845905320243,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-09,450.72,103.0,-0.8992766210065728,-2.2306578496565366,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-10,449.45,102.269997,-1.5098391550159906,-3.2907829787234055,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
