,S&P 500,S&P 500 Consumer Staples (Sector),S&P 500 Performance (%),S&P 500 Consumer Staples (Sector) Performance (%),S&P 500 Consumer Staples (Sector) Outperform/Underperform,overall,food and beverages,food,nondurables,household furnishings and operations,household furnishings and supplies,tobacco and smoking products,domestically produced farm food,footwear,infants' and toddlers' apparel,men's apparel,women's apparel
1993-05-04,444.05,88.18,-1.1508837540626038,-0.854510887013471,-0.854510887013471,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-05,444.52,88.82,-0.27593942793046056,1.2424449592233433,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-06,443.26,88.400002,-0.6210344595654949,0.7866868177709208,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-07,442.31,89.019997,-1.1177930294426708,1.6326076781645327,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-10,442.8,89.510002,-0.9794713538172517,2.519761826131317,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-11,444.36,89.940002,-0.03374502260915513,3.6294515078989287,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-12,444.8,89.32,-0.5144263028405316,3.2123861426809786,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-13,439.23,88.309998,-2.195551003139673,2.4715688094685273,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-14,439.56,88.639999,-1.936462609316436,3.045805732822804,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-17,440.37,88.989998,-1.5250788255551262,3.826856887491048,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-18,440.32,88.510002,-2.2032693674484793,2.3000520908478483,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-19,447.57,90.279999,-0.12496373820096718,5.013374374626345,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-20,450.59,90.849998,0.09774519604575094,5.7255882695216975,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-21,445.84,90.080002,-0.7634607251764014,5.025073045064921,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-24,448.0,89.68,-0.1203906006153388,5.295294241993553,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-25,448.85,90.0,0.16066766340125938,5.5470894410844185,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-26,453.44,90.470001,1.0608897209592572,6.247796682377049,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-27,452.41,89.809998,0.3749556265530751,4.795800634625458,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-28,450.19,89.480003,0.16464567805094532,5.258205969692842,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-06-01,453.83,89.82,0.7481241397682359,4.868649039844741,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-06-02,453.85,89.410004,1.0891838916607277,5.486080568992913,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-03,452.49,88.660004,0.522059803616659,4.318162238337742,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-04,450.06,88.07,-0.5128431849330206,3.4413918656494014,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-07,447.69,87.599998,-1.2005384768168037,0.8867856527286166,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-08,444.71,86.93,-2.4844311902464833,-2.3148646435524056,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-09,445.78,86.610001,-2.333326030278471,-3.638179916717177,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
