,S&P 500,S&P 500 Energy (Sector),S&P 500 Performance (%),S&P 500 Energy (Sector) Performance (%),S&P 500 Energy (Sector) Outperform/Underperform,overall,energy,energy commodities,fuels and utilities,transportation,transportation services,utilities and public transportation
1993-01-04,435.38,90.74,-3.9828863796753655,-11.239362222439608,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-05,434.34,90.91,-3.9941645852213825,-11.797807315416708,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-06,434.52,90.89,-3.480752571136636,-11.577001653857389,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-07,430.73,89.91,-5.090011678381767,-13.239409437421601,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-08,429.05,88.9,-5.4643604715214344,-14.097980481205907,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-11,430.95,89.17,-4.760326195054043,-13.92026257360749,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-12,431.04,88.96,-4.226103186241826,-14.048309178743967,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-13,433.03,89.84,-3.2745873260515146,-13.457277718909545,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-14,435.94,89.26,-1.9720716871669097,-14.321366865041274,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-15,437.15,88.99,-1.9359325227690793,-15.368521160247273,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-18,436.84,88.2,-1.9174637388297722,-15.662650602409634,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-19,435.13,87.89,-2.7120690426150285,-13.757236777548808,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-20,433.37,87.72,-3.2029662058028596,-14.185090980238702,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-21,435.49,87.5,-2.4155780133103266,-14.366803679780782,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-22,436.11,87.64,-2.530004693471599,-15.307305759567068,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-25,440.01,91.19,-1.9017255986088277,-12.266692322493745,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-26,439.95,92.13,-0.8406959971150374,-9.897310513447433,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-27,438.11,91.24,-1.8174891309219676,-11.253769088610067,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-28,438.66,92.84,-1.6303007198439134,-10.06490361329071,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-29,438.78,92.42,-0.9950585527651823,-8.404360753221018,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-02-01,442.52,93.04,-0.9180063588733245,-7.8903078903078905,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-02-02,442.55,93.25,-1.1282394995531742,-7.837517295908292,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-03,447.2,93.89,-1.0291025782892649,-8.167057902973395,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-04,449.56,94.16,-0.2507266635603189,-7.568469618140772,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-05,448.93,94.92,-0.35513728275585743,-6.666666666666665,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-08,447.85,95.94,-0.2605674580196782,-5.365949891497335,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-09,445.33,95.18,-0.1143908128476534,-4.905584973523824,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-10,446.23,94.69,1.0873751217633565,-4.604070118879722,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-11,447.66,95.06,1.0907120113813562,-4.58697179564388,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-12,444.58,93.7,-0.9049572039942944,-6.487025948103797,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-16,433.91,93.72,-3.168864787663739,-6.092184368737474,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-17,433.3,93.58,-3.4923604614904957,-6.307569082899478,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-18,431.9,93.44,-3.6131134370327334,-6.503902341404844,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
