,S&P 500,S&P 500 Financials (Sector),S&P 500 Performance (%),S&P 500 Financials (Sector) Performance (%),S&P 500 Financials (Sector) Outperform/Underperform,overall,purchasing power of the consumer dollar,commodities,other services,housing,shelter,services,other personal services
1993-05-04,444.05,106.129997,-1.1508837540626038,-3.5006418394078365,-3.5006418394078365,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-05,444.52,105.0,-0.27593942793046056,-4.232031231594591,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-06,443.26,104.629997,-0.6210344595654949,-5.114718557578268,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-07,442.31,103.550003,-1.1177930294426708,-5.812260218077858,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-10,442.8,103.940002,-0.9794713538172517,-5.517680110577572,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-11,444.36,105.339996,-0.03374502260915513,-3.384392400113667,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-12,444.8,105.010002,-0.5144263028405316,-4.4581947244765825,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-13,439.23,102.690002,-2.195551003139673,-7.160291952262066,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-14,439.56,101.300003,-1.936462609316436,-8.491413057581198,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-17,440.37,100.800003,-1.5250788255551262,-8.621154176795464,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-18,440.32,100.970001,-2.2032693674484793,-9.767650406297578,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-19,447.57,103.220001,-0.12496373820096718,-7.084341779974501,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-20,450.59,103.790001,0.09774519604575094,-7.039857464579358,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-21,445.84,102.199997,-0.7634607251764014,-8.480344917710136,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-24,448.0,102.360001,-0.1203906006153388,-8.607141964285713,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-25,448.85,102.779999,0.16066766340125938,-8.354884380652972,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-26,453.44,105.349998,1.0608897209592572,-6.372199778853538,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-27,452.41,104.879997,0.3749556265530751,-7.366193187014714,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-28,450.19,104.050003,0.16464567805094532,-8.115502615957304,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-06-01,453.83,104.870003,0.7481241397682359,-7.317718827791097,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-06-02,453.85,104.739998,1.0891838916607277,-7.522517967110753,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-03,452.49,104.339996,0.522059803616659,-7.818717063014102,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-04,450.06,103.040001,-0.5128431849330206,-8.709135942877577,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-07,447.69,100.489998,-1.2005384768168037,-10.188579052538916,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-08,444.71,100.209999,-2.4844311902464833,-10.614576660292773,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-09,445.78,101.300003,-2.333326030278471,-9.488916359701872,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-10,445.38,101.360001,-2.36320589266924,-9.273182874389697,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-11,447.26,102.82,-1.7507633503943132,-8.015744390908441,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-14,447.71,103.309998,-2.62305065576266,-8.849477990099807,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-15,446.27,103.440002,-3.0121922065503237,-8.86343436123347,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-16,447.43,103.489998,-2.952021516571235,-8.995781665531288,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-17,448.54,104.160004,-2.6056368610761327,-7.993989117516021,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-18,443.68,103.639999,-3.9445767482138905,-8.493733736646059,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-21,446.22,105.010002,-3.7406161014755357,-7.724078003758928,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-22,445.93,106.150002,-3.7180179207600084,-6.607427182564585,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-23,443.19,105.489998,-3.9258616952091985,-6.712065675414469,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-24,446.62,107.199997,-3.1907053366280747,-5.51736475865825,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-25,447.6,107.220001,-2.3815755037948083,-5.54136277788102,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-28,451.85,109.550003,-1.0511332530384276,-3.4461449272531697,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-29,450.69,108.739998,-1.488524590163931,-5.55024682229428,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-30,450.53,109.139999,-2.4235467382829556,-6.325639750654199,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-07-01,449.02,109.260002,-2.822144310262742,-5.923882434336858,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-07-02,445.84,108.290001,-3.0571863448575765,-5.9901040717058045,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-06,441.43,108.129997,-4.369584055459274,-6.145301676462989,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-07,442.83,108.949997,-3.6131728446118117,-5.1288742643286085,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-08,448.64,111.07,-2.2208661159906717,-3.31650165346018,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-09,448.11,110.620003,-1.525107131084491,-3.244991633954486,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-12,448.98,110.75,-0.8764764322772844,-1.9217127510044785,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-13,448.09,109.970001,-1.7777290661990408,-3.6365246152333164,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-14,450.08,109.239998,-1.673439070214533,-4.527180641971351,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-15,449.22,109.980003,-1.8377291698533638,-4.306966849386596,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-16,445.75,109.639999,-3.4755305326981456,-5.758979912634688,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-19,446.03,110.269997,-3.3583949039065697,-5.566498387423957,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-20,447.31,109.940002,-2.781943448305846,-5.49299397415981,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-21,447.18,110.010002,-2.5603033142309273,-4.926105824268479,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-22,444.51,109.029999,-3.635535900104059,-6.178470064353059,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-23,447.1,109.910004,-3.0866605973902006,-5.624244424044688,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-26,449.09,110.610001,-2.6257588898525586,-4.523087691378292,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-27,448.24,110.699997,-2.7130268698181137,-4.536048676578552,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-28,447.19,110.309998,-2.6111764449671226,-4.468695726433747,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-29,450.24,111.900002,-2.187656144771999,-3.4845609197074245,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-07-30,448.13,111.089996,-2.766446797430999,-4.059076741868239,UNDERPERFORM,144.8,,131.6,177.8,141.7,156.2,158.6,
1993-08-02,450.15,111.650002,-2.3789902845246402,-4.0725122783101035,UNDERPERFORM,145.0,,131.3,178.9,142.0,156.5,159.0,
1993-08-03,449.27,111.669998,-2.647944700860261,-4.162374806789604,UNDERPERFORM,145.0,,131.3,178.9,142.0,156.5,159.0,
