,S&P 500,S&P 500 Health Care (Sector),S&P 500 Performance (%),S&P 500 Health Care (Sector) Performance (%),S&P 500 Health Care (Sector) Outperform/Underperform,overall,medical Care,medical care commodities,medical care services,personal Care
1993-05-04,444.05,90.959999,-2.967462797456455,8.557104564302364,8.557104564302364,144.3,201.3,194.7,202.9,
1993-05-05,444.52,91.760002,-3.7418796015591282,9.695158166284322,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-06,443.26,90.550003,-3.958572573830521,9.59815990323798,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-07,442.31,90.120003,-3.868640107800314,9.090911401877367,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-10,442.8,90.230003,-3.514697230514452,8.933962116770179,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-11,444.36,90.489998,-3.668054110301755,8.801250662528592,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-12,444.8,89.620003,-3.585208306238341,8.748936597551914,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-13,439.23,88.040001,-4.76366001734605,6.225873777480961,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-14,439.56,89.400002,-4.596952728219817,8.74589841559299,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-17,440.37,90.809998,-4.096432771462178,9.966088399949392,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-18,440.32,90.389999,-4.342725554517612,9.497269188469915,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-19,447.57,91.540001,-2.887953480298555,8.357004911564703,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-20,450.59,92.330002,-2.2835704371964027,9.292138637826518,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-21,445.84,91.330002,-3.391189408221207,8.210900279362555,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-24,448.0,91.519997,-4.033588244114561,6.953368002804727,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-25,448.85,90.910004,-4.398296059637907,5.770805320679662,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-26,453.44,92.050003,-3.2041840111004305,5.200003428571431,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-27,452.41,90.400002,-2.9600394671928876,4.147464142368751,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-28,450.19,90.870003,-3.407213508700413,3.5437567560675287,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-06-01,453.83,91.279999,-2.4776517105037033,3.7154833833545453,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-06-02,453.85,90.360001,-2.0333714680423887,4.113377069784785,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-03,452.49,89.589996,-2.522619560534245,3.1429829249023378,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-04,450.06,88.18,-3.0669825543829465,2.060182822680967,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-07,447.69,88.029999,-3.6417640601795087,2.146668600603374,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-08,444.71,87.510002,-4.921642828127348,1.0858288090562551,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-09,445.78,87.93,-4.713250539725966,0.6409488162659294,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-10,445.38,89.379997,-5.0564911532722245,2.113558803993598,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-11,447.26,90.669998,-4.521390146016568,3.327633048433065,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-14,447.71,91.089996,-3.3065526327156536,2.798775501650197,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-15,446.27,90.379997,-2.4525126232267436,3.1970711761344583,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-16,447.43,91.529999,-2.641599756293922,4.66552560316269,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-17,448.54,91.959999,-2.5357988744268867,5.301725516964928,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-18,443.68,89.019997,-3.6169704342536857,1.8418864275535407,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-21,446.22,88.68,-3.773829034762355,0.20338983050847137,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-22,445.93,87.91999799999998,-3.6118796472419112,-0.8681970714128795,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-23,443.19,87.519997,-4.770192741571588,-2.0262005591357934,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-24,446.62,88.32,-3.693800539083558,-1.4615609102385796,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-25,447.6,88.790001,-4.100784162488747,-2.3104830268509513,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-28,451.85,88.099998,-2.7882360534411843,-2.2306103403549993,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-29,450.69,88.730003,-2.788921961951596,-1.7059865416856113,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-30,450.53,87.489998,-2.6091655858192953,-3.101121906067983,UNDERPERFORM,144.5,202.2,195.5,203.8,
1993-07-01,449.02,86.07,-2.2019907215821255,-3.9504530303486995,UNDERPERFORM,144.5,202.2,195.5,203.8,
1993-07-02,445.84,85.050003,-3.294796434071534,-5.447464328431262,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-06,441.43,84.040001,-4.526775672636041,-6.215824057406261,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-07,442.83,84.730003,-4.3687643070012605,-5.308448637401142,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-08,448.64,86.08000200000002,-2.870751244858194,-3.519389110968485,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-09,448.11,85.68,-2.9623854999025534,-4.043007010381816,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-12,448.98,85.699997,-2.7950377795578962,-4.063589968351311,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-13,448.09,86.529999,-3.2432899311178875,-3.307631094147523,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-14,450.08,86.66999799999998,-3.1856998429736105,-3.2916814341102163,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-15,449.22,84.790001,-3.6897283622408517,-5.883000594205812,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-16,445.75,83.33000200000002,-4.501242608621137,-7.204900650170332,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-19,446.03,83.279999,-4.34493555512665,-6.970507382836488,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-20,447.31,84.650002,-3.6343659787151594,-4.209574373331182,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-21,447.18,83.910004,-3.6104584743387957,-4.626050080948508,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-22,444.51,83.0,-4.550139574833578,-5.79956979004006,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-23,447.1,84.209999,-3.4466375847622244,-3.9575741332116943,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-26,449.09,83.900002,-2.7606963450545696,-4.354763972243914,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-27,448.24,83.940002,-3.2589459144472643,-4.210881120993304,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-28,447.19,82.489998,-4.114670440413393,-6.537507216462557,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-29,450.24,81.68,-3.3508640120210376,-7.622707704652942,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-30,448.13,80.75,-3.6900924134966706,-9.12671720541619,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-08-02,450.15,80.75,-3.674141915603868,-9.564341924467001,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-03,449.27,80.989998,-3.8747913903034004,-10.031103422498456,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-04,448.54,80.870003,-4.675479236621749,-11.414172292538371,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-05,448.13,79.91999799999998,-4.843504480400895,-12.541036743522794,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-06,448.68,80.110001,-4.653831442050227,-12.572297694171052,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-09,450.72,79.099998,-3.8238306589279514,-13.267543199590238,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-10,449.45,78.199997,-3.6445492550112535,-13.80070972441898,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-11,450.46,77.339996,-3.218459951873498,-14.814412217045803,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-12,448.96,76.889999,-3.8403049968943503,-16.269195986732086,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-13,450.14,77.089996,-3.7236659180836296,-16.67747676213176,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-16,452.38,78.959999,-3.15550607980819,-13.930672856565796,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-17,453.13,80.889999,-3.5688444349861626,-12.304856077728877,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-18,456.04,83.709999,-4.046121152187165,-10.105244519805268,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-19,456.43,84.360001,-3.7331533545651996,-8.77041193067577,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-20,456.16,84.110001,-3.7982158297656943,-8.645594656239819,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-23,455.23,83.239998,-3.6489089254344242,-9.156389037096668,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-24,459.77,83.18,-3.187972457939403,-9.498426308413599,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-25,460.13,82.379997,-2.782590323262202,-10.251665647111174,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-26,461.04,83.900002,-2.7854507116499727,-8.853884556636027,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-27,460.54,83.599998,-2.9011174362218006,-7.440214791851185,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-30,461.9,83.629997,-2.7538001600067474,-7.180911369165621,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-31,463.56,83.779999,-2.3508594539939365,-6.880073281315169,UNDERPERFORM,145.0,203.6,196.4,205.3,
