,S&P 500,S&P 500 Industrials (Sector),S&P 500 Performance (%),S&P 500 Industrials (Sector) Performance (%),S&P 500 Industrials (Sector) Outperform/Underperform,overall,energy,commodities,communication,transportation,services,durable
1993-05-04,444.05,94.949997,-6.025141792939981,-13.152844358312555,-13.152844358312555,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-05,444.52,95.599998,-5.979398887455323,-12.93260893626752,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-06,443.26,96.019997,-5.7575371008206755,-12.254411952846567,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-07,442.31,95.919998,-5.426671513181802,-11.398488612627212,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-10,442.8,95.910004,-6.078988673482366,-12.097880010100992,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-11,444.36,95.940002,-5.593915315812947,-11.779308505747121,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-12,444.8,96.419998,-4.191616766467066,-9.988801998073127,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-13,439.23,95.760002,-5.758791597828649,-10.521393492470388,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-14,439.56,95.82,-5.904011645331164,-10.715616846813269,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-17,440.37,95.580002,-5.1825854792868835,-10.421738812232583,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-18,440.32,95.059998,-5.268819517652378,-10.909090278606104,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-19,447.57,96.199997,-3.334701194358658,-9.81531939280622,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-20,450.59,96.599998,-3.0447131729569255,-9.988820350354077,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-21,445.84,95.989998,-4.512646976933466,-11.28465742933431,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-24,448.0,96.480003,-3.8378981712028803,-10.666663888888895,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-25,448.85,96.599998,-3.8988566779428746,-10.613493106319972,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-26,453.44,97.309998,-2.254796292304373,-9.462229918248145,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-27,452.41,97.610001,-3.0078895463510835,-9.628738827354155,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-28,450.19,96.779999,-3.680010269796097,-10.496622875149065,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-06-01,453.83,97.910004,-2.8222093745315924,-9.334192227691307,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-06-02,453.85,98.279999,-3.3168591027225025,-8.907220399547878,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-03,452.49,97.959999,-3.9095349331068063,-9.338272762472766,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-04,450.06,97.699997,-4.458030824098847,-9.97051262358587,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-07,447.69,97.660004,-4.4499935971315185,-9.339024235619897,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-08,444.71,96.730003,-5.138651877133116,-10.018601860465115,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-09,445.78,96.860001,-4.857642890681701,-10.256646900769029,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-10,445.38,96.050003,-4.085280499623134,-10.225250214510705,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-11,447.26,96.650002,-2.8920057319032466,-8.75188460634224,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-14,447.71,96.279999,-2.6717391304347915,-9.04109511650628,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-15,446.27,96.489998,-1.3724363507779391,-7.087145057046607,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-16,447.43,96.839996,0.42195039838401893,-4.965658391253025,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-17,448.54,96.690002,0.6213966843888086,-5.456140768245055,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-18,443.68,96.260002,1.0844800874874716,-4.598612396459611,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-21,446.22,97.089996,-0.4617546677374018,-5.664595912642756,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-22,445.93,96.650002,-0.47316147751367277,-6.119470795127846,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
