,S&P 500,S&P 500 Information Technology (Sector),S&P 500 Performance (%),S&P 500 Information Technology (Sector) Performance (%),S&P 500 Information Technology (Sector) Outperform/Underperform,overall,communication,information technology commodities,video and audio,video and audio products,video and audio services
1993-05-04,444.05,76.230003,-1.1508837540626038,-0.470026137617241,-0.470026137617241,144.3,,,,,
1993-05-05,444.52,76.889999,-0.27593942793046056,4.144652467976329,OUTPERFORM,144.3,,,,,
1993-05-06,443.26,76.41999799999998,-0.6210344595654949,5.23271115810886,OUTPERFORM,144.3,,,,,
1993-05-07,442.31,77.089996,-1.1177930294426708,4.514633825525105,OUTPERFORM,144.3,,,,,
1993-05-10,442.8,77.029999,-0.9794713538172517,4.193154335181926,OUTPERFORM,144.3,,,,,
1993-05-11,444.36,76.540001,-0.03374502260915513,4.420188086486165,OUTPERFORM,144.3,,,,,
1993-05-12,444.8,75.800003,-0.5144263028405316,2.3770961321299744,OUTPERFORM,144.3,,,,,
1993-05-13,439.23,75.059998,-2.195551003139673,1.3092212881209875,OUTPERFORM,144.3,,,,,
1993-05-14,439.56,75.93,-1.936462609316436,2.4143526087719636,OUTPERFORM,144.3,,,,,
1993-05-17,440.37,76.629997,-1.5250788255551262,3.8346800609208698,OUTPERFORM,144.3,,,,,
1993-05-18,440.32,78.400002,-2.2032693674484793,6.4927992464222095,OUTPERFORM,144.3,,,,,
1993-05-19,447.57,80.349998,-0.12496373820096718,8.90485102879981,OUTPERFORM,144.3,,,,,
1993-05-20,450.59,80.739998,0.09774519604575094,7.941169467600151,OUTPERFORM,144.3,,,,,
1993-05-21,445.84,79.220001,-0.7634607251764014,5.697136985876061,OUTPERFORM,144.3,,,,,
1993-05-24,448.0,80.470001,-0.1203906006153388,5.951289240998925,OUTPERFORM,144.3,,,,,
1993-05-25,448.85,79.900002,0.16066766340125938,4.7456778283387235,OUTPERFORM,144.3,,,,,
1993-05-26,453.44,82.389999,1.0608897209592572,7.264680569318616,OUTPERFORM,144.3,,,,,
1993-05-27,452.41,82.040001,0.3749556265530751,6.35208978937114,OUTPERFORM,144.3,,,,,
1993-05-28,450.19,80.639999,0.16464567805094532,5.397983129055461,OUTPERFORM,144.3,,,,,
1993-06-01,453.83,81.91999799999998,0.7481241397682359,6.805738206221812,OUTPERFORM,144.3,,,,,
1993-06-02,453.85,82.779999,1.0891838916607277,8.308254612063326,OUTPERFORM,144.5,,,,,
1993-06-03,452.49,82.949997,0.522059803616659,8.106338794226286,OUTPERFORM,144.5,,,,,
1993-06-04,450.06,82.699997,-0.5128431849330206,6.120873861157428,OUTPERFORM,144.5,,,,,
1993-06-07,447.69,81.220001,-1.2005384768168037,2.8752426678369636,OUTPERFORM,144.5,,,,,
