,S&P 500,S&P 500 Materials (Sector),S&P 500 Performance (%),S&P 500 Materials (Sector) Performance (%),S&P 500 Materials (Sector) Outperform/Underperform,overall,transportation,energy,energy commodities,fuels and utilities,transportation services
1993-05-04,444.05,90.040001,-2.967462797456455,2.5045595402805043,2.5045595402805043,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-05,444.52,89.93,-3.7418796015591282,1.926778807884677,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-06,443.26,89.5,-3.958572573830521,1.7276619097182921,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-07,442.31,89.239998,-3.868640107800314,1.7675857733473244,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-10,442.8,88.970001,-3.514697230514452,0.9989840390048244,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-11,444.36,89.43,-3.668054110301755,0.6754452172589076,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-12,444.8,90.349998,-3.585208306238341,1.3346724390007836,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-13,439.23,90.330002,-4.76366001734605,1.1194447303381594,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-14,439.56,89.91999799999998,-4.596952728219817,0.6717398119122198,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-17,440.37,89.650002,-4.096432771462178,0.7077117740185823,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-18,440.32,90.010002,-4.342725554517612,0.8176556991224881,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-19,447.57,91.150002,-2.887953480298555,1.9917186306908752,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-20,450.59,91.699997,-2.2835704371964027,2.66457344379758,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-21,445.84,91.239998,-3.391189408221207,2.713042829831269,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-24,448.0,91.580002,-4.033588244114561,3.538728214993614,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-25,448.85,92.349998,-4.398296059637907,4.161960109995033,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-26,453.44,92.580002,-3.2041840111004305,3.545462317617165,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-27,452.41,93.0,-2.9600394671928876,3.0356724343967967,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-28,450.19,92.169998,-3.407213508700413,1.4976324523209517,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-06-01,453.83,92.519997,-2.4776517105037033,3.0060086840347555,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-06-02,453.85,92.540001,-2.0333714680423887,2.696703998482919,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-03,452.49,92.419998,-2.522619560534245,1.9188332598147229,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-04,450.06,91.989998,-3.0669825543829465,-0.02174111462360795,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-07,447.69,92.07,-3.6417640601795087,0.5021274915169904,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-08,444.71,90.870003,-4.921642828127348,-1.271184253898483,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-09,445.78,90.419998,-4.713250539725966,-1.2558720104837717,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-10,445.38,89.989998,-5.0564911532722245,-2.608229380774252,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-11,447.26,89.599998,-4.521390146016568,-3.655916129032255,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-14,447.71,89.239998,-3.3065526327156536,-3.3362240034661927,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-15,446.27,88.550003,-2.4525126232267436,-3.8336217672975126,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-16,447.43,88.75,-2.641599756293922,-3.427640839441981,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-17,448.54,89.589996,-2.5357988744268867,-2.4286691352646383,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-18,443.68,89.279999,-3.6169704342536857,-2.0730492941329226,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-21,446.22,89.66999799999998,-3.773829034762355,-2.891485938552585,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-22,445.93,89.349998,-3.6118796472419112,-3.9143994819743955,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-23,443.19,88.720001,-4.770192741571588,-6.0269068519476,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-24,446.62,89.07,-3.693800539083558,-5.435823220388092,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-25,447.6,89.010002,-4.100784162488747,-5.519580782502709,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-28,451.85,89.599998,-2.7882360534411843,-4.27350436481847,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-29,450.69,89.08000200000002,-2.788921961951596,-4.706890092846894,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-30,450.53,89.650002,-2.6091655858192953,-4.658084703372167,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-07-01,449.02,90.519997,-2.2019907215821255,-3.4762231123504295,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-07-02,445.84,90.239998,-3.294796434071534,-3.6309280609881256,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-06,441.43,89.279999,-4.526775672636041,-4.6561299087583325,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-07,442.83,89.209999,-4.3687643070012605,-4.883251893770646,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-08,448.64,89.849998,-2.870751244858194,-3.73901665905364,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-09,448.11,90.019997,-2.9623854999025534,-3.9889130975061193,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-12,448.98,89.980003,-2.7950377795578962,-4.5811239263693455,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-13,448.09,89.900002,-3.2432899311178875,-4.706375014050246,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-14,450.08,90.43,-3.1856998429736105,-4.559366754617411,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-15,449.22,90.199997,-3.6897283622408517,-4.751848091399625,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-16,445.75,89.989998,-4.501242608621137,-4.993668655049943,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-19,446.03,89.769997,-4.34493555512665,-6.421352027520067,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-20,447.31,89.639999,-3.6343659787151594,-5.731409432386558,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-21,447.18,89.839996,-3.6104584743387957,-6.093866543197802,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-22,444.51,89.389999,-4.550139574833578,-7.807343314844706,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
