,S&P 500,S&P 500 Real Estate (Sector),S&P 500 Performance (%),S&P 500 Real Estate (Sector) Performance (%),S&P 500 Real Estate (Sector) Outperform/Underperform,overall,commodities,housing,shelters,transportations
2002-02-11,1111.94,92.480003,19.19560067319135,9.095206173004811,9.095206173004811,178.5,149.0,179.0,206.3,207.3
2002-02-12,1107.5,91.610001,21.262222027570065,8.671408944077964,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-13,1118.51,91.989998,19.13363937499335,8.312725774166951,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-14,1116.48,92.470001,19.242558554324972,8.980557666011958,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-15,1104.18,93.330002,18.153510320695965,9.234550345633163,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-19,1083.34,91.68,17.658430627206066,8.215296173096132,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-20,1097.98,92.900002,19.660411081322614,9.875811595181139,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-21,1080.95,91.989998,19.237769565936812,9.173980318680751,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-22,1089.84,93.459999,19.469870537035593,11.381235305387417,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-25,1109.43,93.860001,24.375560538116602,11.791331726909625,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-26,1109.38,93.480003,22.657968931394777,12.20742437180229,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-27,1109.89,93.650002,22.645199787835924,13.570219664931127,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-28,1106.73,93.309998,22.754497659664153,13.07561971918152,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-03-01,1131.78,94.139999,27.24063497773981,14.358599368318758,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-03-04,1153.84,95.25,26.73989455184533,14.236031934613758,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-05,1146.14,96.57,26.927208496218125,17.381795941964096,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-06,1162.77,97.080002,30.48410988419068,18.491397534480637,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-07,1157.54,97.0,30.906417868249925,19.26718014835407,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-08,1164.31,96.809998,29.980128605876576,18.683337011156055,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-11,1168.26,96.120003,30.185651563440242,17.66434159225505,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-12,1165.58,96.389999,30.601588848924877,17.663575870692803,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-13,1154.09,95.809998,29.72259065260885,16.798731156878333,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
